0_id, 1_tipo, 2_nome, 3_var_1, 4_var_2, 5_pos_x_inicial, 6_dpos_x, 7_pos_x_final, 8_pos_y_inicial, 9_dpos_y, 10_pos_y_final, 11_inc_x1, 12_inc_x2, 13_inc_y1, 14_inc_y2, 15_var1_dependente, 16_var2_dependente, 17_piscar, 18_tempo_pisca, 19_figura, 20_funcao, 21_reserva, 22_reserva, 23_reserva, 24_reserva 
0,3,motor1,Q0.0,,20,100,,300,100,,,,0,0,,,,,motor,0,,,,,
1,3,motor2,Q0.1,,200,100,,300,100,,,,0,0,,,,,motor,0,,,,,
2,3,motor3,Q0.2,,380,100,,300,100,,,,0,0,,,,,motor,0,,,,,
3,4,chave,I0.0,,10,80,,120,60,,0,0,0,0,PB,0,1,5,b0,0,,,,,
4,4,chave1,I0.1,,10,80,,200,60,,0,0,0,0,PB,0,1,5,b1,0,,,,,
5,4,termico,I0.2,,30,80,,370,60,,0,0,0,0,,0,,,termico,0,,,,,
6,4,termico,I0.3,,210,80,,370,60,,0,0,0,0,,0,,,termico,0,,,,,
7,4,termico,I0.4,,390,80,,370,60,,0,0,0,0,,0,,,termico,0,,,,,
8,1,label_botao,,,10,,,450,,,black,12,,,,,,,I0.0:Botão B0,,,,,,
9,1,label_sensor1,,,10,,,470,,,black,12,,,,,,,I0.1:Botão B1,,,,,,
10,1,label_sensor2,,,10,,,490,,,black,12,,,,,,,I0.2:Térmico M1,,,,,,
11,1,label_sensor3,,,300,,,450,,,black,12,,,,,,,I0.3:Térmico M2,,,,,,
12,1,label_sensor4,,,300,,,470,,,black,12,,,,,,,I0.4:Térmico M3,,,,,,
13,1,label_M3,,,350,,,450,,,black,12,,,,,,,Q0.0: M1,,,,,,
14,1,label_M2,,,350,,,470,,,black,12,,,,,,,Q0.1:M2,,,,,,
15,1,label_M1,,,350,,,490,,,black,12,,,,,,,Q0.2:M3,,,,,,
16,1,titulo,,,160,,,70,,,red,50,,,,,,,Cascata,,,,,,
